Year,Player,Pos,Age,Tm,G,GS,PTS,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,Jeff Withey,C,24,UTA,51,1,140,432,18.8,0.588,14.3,17.9,16.2,2.5,1.9,6,10.1,14.9,1,0.9,1.8,0.205,-1.2,2.7,1.5,0.4,55,103,0.534,0,1,0,55,102,0.539,0.534,36,48,0.75,52,69,105,8,18,36,14,52,146
2016,Christian Wood,PF,19,CHO,13,0,34,107,15.1,0.591,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,0.1,0.1,0.3,0.125,-2.5,0.6,-2,0,12,23,0.522,0,5,0,12,18,0.667,0.522,11,15,0.733,14,15,25,2,3,7,7,11,35
2016,Metta World,SF,35,LAL,25,2,55,160,6.2,0.38,3.3,10.6,6.8,9.8,2.7,1,8.5,21.9,-0.3,0.1,-0.2,-0.065,-4.2,-2.4,-6.6,-0.2,19,68,0.279,9,38,0.237,10,30,0.333,0.346,10,16,0.625,5,15,17,12,10,2,7,18,57
2016,Brandan Wright,PF,27,MEM,28,5,181,447,18.5,0.628,7.7,12.4,10,6,1.3,4.3,6.2,16.3,1.1,0.5,1.6,0.177,0,1.3,1.3,0.4,83,135,0.615,0,1,0,83,134,0.619,0.615,23,35,0.657,31,47,68,16,12,23,10,42,189
2016,Delon Wright,PG,22,TOR,27,0,144,446,15,0.535,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,1.1,0.117,-0.1,1.2,1.1,0.4,49,116,0.422,10,30,0.333,39,86,0.453,0.466,42,55,0.764,16,32,42,62,30,13,25,31,150
2016,James Young,SG,19,BOS,29,0,65,220,10,0.549,3.1,10,6.6,2.6,2.3,0.7,6.1,13.3,0.1,0.2,0.3,0.076,-2,-1.1,-3.1,-0.1,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,23,4,11,2,4,15,68
2016,Joe Young,PG,22,IND,33,0,65,135,11.4,0.433,0.8,13.1,7.1,18,1.5,0,6,27.8,-0.2,0.1,-0.1,-0.022,-3.5,-3.8,-7.3,-0.2,26,72,0.361,5,23,0.217,21,49,0.429,0.396,11,15,0.733,1,16,15,16,4,0,5,5,68
2016,Nick Young,SG,29,LAL,60,60,759,1556,14.1,0.588,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5,3,0.2,3.2,0.098,2.6,-3.4,-0.7,0.5,272,633,0.43,170,421,0.404,102,212,0.481,0.564,77,90,0.856,25,112,119,63,41,16,36,137,791
2016,Thaddeus Young,PF,26,IND,74,74,781,2237,14.9,0.562,6.7,15.8,11.3,8.4,2.6,1.2,11.7,16.5,1.9,2.7,4.6,0.099,0,1.5,1.5,2,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,318,391,133,128,34,96,135,814
2016,Cody Zeller,PF,22,CHO,62,58,613,1725,16.7,0.604,8.6,17.3,12.9,9.1,1.8,3,10.9,15.5,3.4,2.2,5.6,0.157,-0.2,2.3,2.1,1.8,253,443,0.571,0,1,0,253,442,0.572,0.571,133,196,0.679,135,270,352,108,69,66,65,189,639
2016,Tyler Zeller,C,25,BOS,51,5,171,525,13,0.508,9.2,17,13.2,12.2,0.7,3.3,10.2,16.5,0.5,0.6,1,0.094,-3.2,0.8,-2.5,-0.1,78,158,0.494,0,1,0,78,157,0.497,0.494,22,39,0.564,43,81,108,46,8,24,20,61,178
2016,Stephen Zimmerman,C,18,ORL,19,0,22,108,7.3,0.346,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8,-0.1,0.1,0,-0.005,-7.8,0.4,-7.3,-0.1,10,31,0.323,0,0,0,10,31,0.323,0.323,3,5,0.6,11,24,30,4,2,6,3,17,23
2016,Paul Zipser,SF,20,CHI,44,18,230,843,6.9,0.503,1.9,14.2,8,6.1,0.9,1.5,14.4,14.4,-0.3,0.8,0.5,0.03,-3.6,-0.1,-3.7,-0.4,88,221,0.398,33,99,0.333,55,122,0.451,0.473,31,40,0.775,15,110,109,39,17,18,40,78,240
2016,Ivica Zubac,C,17,LAL,38,11,273,609,17,0.547,7.1,21.9,14.3,8.1,1.1,4.4,10.4,20.3,0.6,0.5,1.1,0.086,-2.7,0.3,-2.5,-0.1,126,238,0.529,0,3,0,126,235,0.536,0.529,32,49,0.653,41,118,138,33,16,38,30,66,284
