,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Speed,Wind Speed,Temp (F)
351,coos bay,20.0,US,1563336160,88.0,43.37,-124.22,66.99,11.41,63.7
352,faanui,19.0,PF,1563336161,78.0,-16.48,-151.75,76.1,21.34,76.1
353,yudong,100.0,CN,1563336161,70.0,32.02,121.36,87.01,12.03,87.01
354,san patricio,31.0,PY,1563336161,86.0,-26.98,-56.83,46.94,5.75,46.94
355,beira,75.0,ES,1563336162,88.0,43.2,-8.36,64.99,8.05,61.5
356,kodar,91.0,IN,1563336162,66.0,16.98,79.97,85.46,13.85,85.46
357,xucheng,100.0,CN,1563336162,84.0,33.0,118.51,79.34,9.35,79.34
358,artvin,0.0,TR,1563336162,88.0,41.18,41.83,66.2,13.87,66.2
359,roald,0.0,NO,1563336163,87.0,62.58,6.12,54.0,8.05,51.33
360,mayo,20.0,CA,1563336163,31.0,63.59,-135.9,73.4,4.7,73.4
361,lahuachaca,43.0,BO,1563336163,58.0,-17.38,-67.67,42.62,3.15,42.62
364,boddam,59.0,GB,1563336164,100.0,57.47,-1.78,57.0,4.7,55.44
365,chepareria,5.0,KE,1563336164,77.0,1.32,35.2,62.24,3.56,62.24
366,isangel,75.0,VU,1563336164,56.0,-19.55,169.27,73.4,5.82,73.4
367,ambagarh chauki,7.0,IN,1563336165,61.0,20.78,80.75,86.36,10.49,86.36
369,agadez,1.0,NE,1563336165,54.0,16.97,7.99,82.4,6.24,82.4
370,auki,0.0,NG,1563336165,81.0,12.18,6.51,75.56,8.03,75.56
371,tocopilla,62.0,CL,1563335676,83.0,-22.09,-70.2,57.2,9.62,57.2
372,malartic,1.0,CA,1563336166,73.0,48.14,-78.13,77.0,8.05,76.17
373,wick,63.0,GB,1563336166,93.0,51.45,-2.43,60.01,4.7,55.36
374,satao,69.0,PT,1563336167,94.0,40.74,-7.73,64.99,1.01,62.73
375,sal rei,90.0,CV,1563336167,73.0,16.18,-22.92,75.2,6.93,75.2
376,puerto narino,90.0,CO,1563336167,100.0,-3.77,-70.38,75.2,0.27,75.2
378,mehamn,75.0,NO,1563335685,93.0,71.03,27.85,44.6,8.05,44.6
379,virginia beach,1.0,US,1563335892,94.0,36.85,-75.98,80.6,12.41,77.56
381,namibe,31.0,AO,1563336168,80.0,-15.19,12.15,68.18,13.13,68.18
382,puksoozero,31.0,RU,1563336168,68.0,62.59,40.61,51.8,0.2,51.8
383,dhidhdhoo,100.0,MV,1563335649,74.0,6.88,73.1,82.94,20.2,82.94
384,portland,1.0,US,1563335463,77.0,43.66,-70.25,73.0,7.83,68.43
385,sao filipe,85.0,CV,1563336169,77.0,14.9,-24.5,72.5,9.8,72.5
386,grafton,0.0,AU,1563336169,40.0,-29.69,152.93,70.0,3.36,68.27
388,karasjok,100.0,NO,1563336170,76.0,69.47,25.52,50.0,9.17,50.0
389,naron,75.0,ES,1563336170,88.0,43.52,-8.15,64.99,8.05,61.95
390,mastic beach,1.0,US,1563335958,88.0,40.77,-72.85,79.0,10.29,76.86
391,komsomolskiy,2.0,RU,1563336170,60.0,67.55,63.78,74.48,11.83,74.48
392,derzhavinsk,0.0,KZ,1563335672,59.0,51.1,66.31,69.98,13.18,69.98
393,seoul,20.0,KR,1563336009,61.0,37.57,126.98,86.0,3.36,82.58
394,quatre cocos,40.0,MU,1563336171,68.0,-20.21,57.76,71.01,14.99,70.38
395,havoysund,100.0,NO,1563336171,81.0,71.0,24.66,48.2,5.82,48.2
396,santa rosa,19.0,AR,1563336075,73.0,-36.62,-64.29,49.46,10.4,49.46
397,cuxhaven,75.0,DE,1563336172,82.0,53.87,8.7,55.99,5.82,55.67
398,quelimane,90.0,MZ,1563336172,93.0,-17.88,36.89,62.6,6.93,62.6
399,pasighat,7.0,IN,1563335672,70.0,28.06,95.33,81.5,1.39,81.5
400,taltal,0.0,CL,1563336173,87.0,-25.41,-70.49,47.48,3.29,47.48
401,omboue,16.0,GA,1563336173,88.0,-1.57,9.26,75.74,10.65,75.74
402,mindelo,75.0,PT,1563336173,100.0,41.31,-8.72,64.99,6.93,63.03
403,trebisacce,0.0,IT,1563336173,100.0,39.87,16.53,68.0,1.99,62.92
404,francistown,0.0,BW,1563336174,59.0,-21.17,27.5,46.58,8.12,46.58
405,sola,94.0,TZ,1563335622,58.0,-3.17,33.8,66.92,7.61,66.92
406,beringovskiy,100.0,RU,1563336174,84.0,63.05,179.32,54.68,2.8,54.68
407,luba,100.0,PH,1563336174,93.0,17.32,120.7,75.2,6.46,75.2
408,yar-sale,29.0,RU,1563336175,66.0,66.83,70.83,72.68,14.07,72.68
410,vao,12.0,EE,1563336175,89.0,59.1,26.19,54.32,4.18,54.32
413,tongren,87.0,CN,1563336176,83.0,27.72,109.18,80.42,3.06,80.42
415,severo-kurilsk,100.0,RU,1563336176,96.0,50.68,156.12,44.42,13.62,44.42
416,taoudenni,0.0,ML,1563335644,13.0,22.68,-3.98,96.62,11.39,96.62
417,mangan,0.0,IN,1563336177,63.0,27.5,88.54,68.0,3.56,68.0
418,kalaleh,40.0,IR,1563336177,74.0,37.38,55.49,82.4,6.98,82.4
419,ola,100.0,RU,1563336177,98.0,59.58,151.3,48.38,10.67,48.38
420,linhares,88.0,BR,1563336177,75.0,-19.38,-40.06,68.18,11.16,68.18
421,palauig,100.0,PH,1563336178,81.0,15.44,119.9,81.68,26.91,81.68
422,anadyr,0.0,RU,1563336178,42.0,64.73,177.51,68.0,8.95,68.0
423,suba,93.0,CN,1563336178,79.0,28.73,103.51,74.3,4.0,74.3
424,nongan,75.0,CN,1563336179,73.0,44.43,125.17,77.0,8.95,77.0
425,mezen,11.0,RU,1563336179,81.0,65.85,44.24,50.36,11.92,50.36
427,te anau,37.0,NZ,1563336179,71.0,-45.41,167.72,41.36,2.98,41.36
428,luganville,40.0,VU,1563336180,69.0,-15.51,167.18,78.8,9.17,78.8
429,shimoda,75.0,JP,1563336180,88.0,34.7,138.93,77.0,5.82,75.18
430,luang prabang,40.0,LA,1563336180,74.0,19.89,102.14,86.0,4.7,86.0
431,riyadh,0.0,SA,1563336180,14.0,24.63,46.72,84.2,5.82,84.2
432,araouane,0.0,ML,1563335634,30.0,18.9,-3.53,94.64,16.82,94.64
433,thai binh,40.0,VN,1563335942,70.0,20.45,106.33,91.4,3.36,91.4
434,salina cruz,100.0,MX,1563336181,84.0,16.18,-95.2,78.98,8.7,78.98
435,guerrero negro,8.0,MX,1563336181,83.0,27.97,-114.04,68.9,13.73,68.9
436,comodoro rivadavia,0.0,AR,1563335662,80.0,-45.87,-67.48,39.2,9.17,39.2
437,port lincoln,88.0,AU,1563336182,76.0,-34.72,135.86,55.94,20.74,55.94
438,gambela,66.0,ET,1563336182,74.0,8.25,34.59,68.72,5.57,68.72
440,gweta,0.0,BW,1563336183,45.0,-20.21,25.26,51.44,9.86,51.44
441,sao sebastiao,56.0,BR,1563336183,74.0,-3.15,-58.36,76.64,2.93,76.64
442,labuhan,24.0,ID,1563336183,50.0,-2.54,115.51,87.98,1.59,87.98
443,aasiaat,57.0,GL,1563336183,66.0,68.71,-52.87,44.96,10.09,44.96
445,ventspils,0.0,LV,1563336184,93.0,57.39,21.56,59.0,6.93,59.0
446,nouadhibou,40.0,MR,1563336184,93.0,20.93,-17.03,66.2,2.24,66.2
447,ornskoldsvik,0.0,SE,1563336184,76.0,63.29,18.72,50.0,5.82,48.02
448,tucurui,0.0,BR,1563336164,83.0,-3.77,-49.67,73.76,2.48,73.76
449,lasa,0.0,CY,1563336185,47.0,34.92,32.53,75.2,8.05,73.53
450,tandahimba,23.0,TZ,1563336185,91.0,-10.76,39.63,64.04,2.71,64.04
451,ucluelet,100.0,CA,1563335919,87.0,48.94,-125.55,66.0,4.07,65.43
452,bandiagara,0.0,ML,1563336186,74.0,14.35,-3.61,82.4,5.57,82.4
453,andapa,91.0,MG,1563336186,98.0,-14.66,49.65,56.12,2.71,56.12
454,caucaia,40.0,BR,1563336186,78.0,-3.73,-38.66,86.0,12.75,81.46
455,sukhinichi,2.0,RU,1563336187,92.0,54.1,35.35,54.68,2.37,54.68
456,kangaatsiaq,100.0,GL,1563336187,89.0,68.31,-53.46,45.14,15.86,45.14
457,chapais,40.0,CA,1563336187,88.0,49.78,-74.86,68.0,8.05,68.0
458,ketchikan,90.0,US,1563335941,93.0,55.34,-131.65,57.2,25.28,57.2
459,la ronge,75.0,CA,1563336188,52.0,55.1,-105.3,68.0,3.36,68.0
461,van,0.0,TR,1563336188,71.0,38.51,43.37,57.2,3.36,57.07
462,weligama,100.0,LK,1563336166,78.0,5.97,80.42,83.3,20.22,83.3
463,coquimbo,20.0,CL,1563336189,93.0,-29.95,-71.34,51.01,8.05,49.8
464,samarai,100.0,PG,1563336189,91.0,-10.62,150.67,74.48,8.37,74.48
465,kalakamati,0.0,BW,1563336189,53.0,-20.59,27.31,48.02,5.79,48.02
466,oussouye,20.0,SN,1563336189,78.0,12.49,-16.54,80.6,2.24,79.68
467,hadejia,33.0,NG,1563336190,58.0,12.45,10.04,83.12,12.48,83.12
468,lupiro,90.0,TZ,1563336190,77.0,-8.39,36.67,64.4,2.53,64.4
469,maragogi,0.0,BR,1563336069,79.0,-9.01,-35.22,66.74,2.84,66.74
470,akhtanizovskaya,75.0,RU,1563336190,100.0,45.32,37.1,68.0,4.47,68.0
471,kandrian,20.0,PG,1563336191,75.0,-6.21,149.55,82.22,7.58,82.22
472,dabakala,35.0,CI,1563336191,96.0,8.36,-4.43,68.72,3.8,68.72
473,carupano,80.0,VE,1563336191,96.0,10.67,-63.26,71.42,2.04,71.42
474,llanelli,100.0,GB,1563336191,93.0,51.68,-4.16,57.99,5.82,54.91
476,young,15.0,UY,1563336192,72.0,-32.7,-57.63,48.0,3.0,48.0
477,cao bang,10.0,VN,1563336192,65.0,22.67,106.25,85.28,3.6,85.28
478,bykivka,6.0,UA,1563336193,95.0,50.29,27.97,49.82,7.45,49.82
479,raahe,0.0,FI,1563336193,81.0,64.68,24.47,51.8,2.24,51.37
480,nuuk,75.0,GL,1563335627,100.0,64.17,-51.74,44.6,29.97,44.6
481,owensboro,90.0,US,1563336193,100.0,37.77,-87.11,75.99,10.29,74.64
482,erzin,0.0,TR,1563336194,94.0,36.95,36.2,75.2,4.7,73.62
483,bitung,40.0,ID,1563336195,52.0,1.44,125.19,91.4,12.75,91.4
485,wagar,4.0,US,1563336195,89.0,31.44,-87.99,80.01,4.38,79.32
486,songjianghe,100.0,CN,1563336196,53.0,42.18,127.48,79.52,7.99,79.52
487,saint-pierre,0.0,FR,1563336196,87.0,48.95,4.24,53.6,4.7,47.25
488,baglung,1.0,NP,1563336196,73.0,28.27,83.59,61.88,4.83,61.88
489,porto belo,0.0,BR,1563336196,93.0,-27.15,-48.54,59.0,6.93,51.39
490,oranjemund,0.0,ZA,1563336197,89.0,-28.55,16.43,54.14,4.61,54.14
491,casablanca,75.0,MA,1563335938,88.0,33.6,-7.62,69.01,6.93,68.54
492,diego de almagro,0.0,CL,1563336197,85.0,-26.39,-70.05,44.06,0.38,44.06
493,trinidad,100.0,BO,1563336197,67.0,-14.83,-64.9,71.96,5.3,71.96
494,xinye,100.0,CN,1563336198,84.0,32.53,112.36,72.14,15.52,72.14
495,ambulu,0.0,ID,1563335599,86.0,-8.35,113.61,73.76,15.93,73.76
496,aracati,78.0,BR,1563336198,94.0,-4.56,-37.77,74.12,6.17,74.12
498,cap malheureux,40.0,MU,1563335611,68.0,-19.98,57.61,70.0,14.99,69.89
499,valparaiso,75.0,US,1563336199,100.0,41.47,-87.06,77.0,0.27,74.25
500,sinnamary,9.0,GF,1563336199,74.0,5.38,-52.96,81.86,11.07,81.86
501,jalu,0.0,LY,1563336199,64.0,29.03,21.55,76.46,12.75,76.46
502,port hawkesbury,1.0,CA,1563335649,87.0,45.62,-61.36,66.99,2.24,59.99
503,kamenka,0.0,MD,1563336200,91.0,48.03,28.7,54.0,2.93,54.0
504,kununurra,98.0,AU,1563336200,15.0,-15.77,128.74,78.8,9.17,78.8
505,maryville,20.0,US,1563336200,94.0,35.76,-83.97,81.0,7.58,76.03
506,swan hill,100.0,AU,1563336201,64.0,-35.34,143.56,54.86,15.5,54.86
507,mlowo,0.0,TZ,1563336201,94.0,-9.01,33.0,49.28,3.58,49.28
508,bridlington,0.0,GB,1563335671,87.0,54.08,-0.19,57.99,4.7,54.37
509,uruzgan,0.0,AF,1563336201,13.0,32.93,66.63,74.3,4.56,74.3
510,nelson bay,0.0,AU,1563336202,42.0,-32.72,152.14,66.0,18.34,64.67
512,arona,0.0,IT,1563336202,93.0,45.76,8.56,69.01,8.05,63.23
513,krasnoye,0.0,RU,1563336202,93.0,44.87,39.46,66.2,4.47,64.58
515,sur,0.0,OM,1563335614,50.0,22.57,59.53,86.9,9.8,86.9
516,chipinge,0.0,ZW,1563336203,76.0,-20.19,32.62,51.44,4.79,51.44
517,vangaindrano,51.0,MG,1563336203,92.0,-23.35,47.6,61.52,1.54,61.52
518,broome,85.0,GB,1563335659,87.0,52.47,1.45,63.0,1.12,60.21
519,svetlaya,47.0,RU,1563336204,53.0,46.54,138.33,75.74,8.23,75.74
520,kasongo-lunda,67.0,CD,1563336204,96.0,-6.48,16.82,64.94,1.9,64.94
521,alice springs,0.0,AU,1563336011,36.0,-23.7,133.88,64.4,12.75,64.4
522,lorengau,38.0,PG,1563336204,68.0,-2.02,147.27,84.56,3.44,84.56
523,novokuznetsk,98.0,RU,1563336205,92.0,53.76,87.14,57.2,8.63,57.2
524,santa rosalia,0.0,MX,1563336205,29.0,31.87,-112.87,95.0,1.01,95.0
525,mogadishu,92.0,SO,1563336205,84.0,2.04,45.34,74.3,12.28,74.3
526,luorong,26.0,CN,1563336206,70.0,24.41,109.6,87.8,5.12,87.8
527,makhu,20.0,IN,1563336206,83.0,31.11,74.97,80.6,2.24,80.6
528,windhoek,0.0,NA,1563336206,23.0,-22.57,17.08,50.0,5.82,43.23
529,touros,75.0,BR,1563336206,88.0,-5.2,-35.46,75.2,3.36,75.2
530,rudnogorsk,75.0,RU,1563336207,41.0,57.27,103.75,83.12,5.77,83.12
531,hami,100.0,CN,1563336207,63.0,42.84,93.51,70.52,4.94,70.52
532,nanzhang,100.0,CN,1563336207,98.0,31.78,111.84,70.34,4.29,70.34
533,zimovniki,0.0,RU,1563336208,86.0,47.15,42.46,64.58,12.71,64.58
534,menongue,0.0,AO,1563336208,50.0,-14.66,17.68,46.94,3.53,46.94
535,vardo,40.0,US,1563336208,88.0,39.62,-77.74,82.0,1.14,77.81
536,markova,0.0,RU,1563336209,65.0,52.21,104.21,78.8,4.47,68.34
537,campbeltown,100.0,GB,1563336209,93.0,55.43,-5.61,60.8,9.17,58.48
538,winnemucca,1.0,US,1563336209,21.0,40.97,-117.74,80.6,5.82,75.81
539,tabou,42.0,CI,1563336209,96.0,4.42,-7.36,72.32,3.78,72.32
540,karatau,0.0,KZ,1563336210,21.0,43.18,70.46,87.62,3.4,87.62
541,gamboula,100.0,CF,1563335638,97.0,4.12,15.14,67.82,0.98,67.82
542,guane,86.0,CU,1563336210,74.0,22.2,-84.09,85.28,11.34,85.28
543,necochea,100.0,AR,1563336210,79.0,-38.55,-58.74,46.99,14.0,46.99
544,moree,0.0,AU,1563336211,47.0,-29.46,149.84,60.01,14.99,59.61
545,karoi,0.0,ZW,1563336211,78.0,-16.82,29.68,51.26,9.55,51.26
546,fort morgan,1.0,US,1563336084,50.0,40.25,-103.8,77.0,3.36,75.99
547,bondo,100.0,CD,1563336212,98.0,3.81,23.69,67.82,0.81,67.82
548,krasnyy yar,88.0,RU,1563336212,90.0,50.7,44.73,63.14,9.13,63.14
549,floro,40.0,NO,1563336212,93.0,61.6,5.03,53.6,9.17,52.07
550,ouesso,7.0,CG,1563336213,96.0,1.61,16.05,70.16,1.81,70.16
551,pathein,94.0,MM,1563336213,82.0,16.78,94.73,82.94,9.42,82.94
552,cortez,1.0,US,1563336193,24.0,37.35,-108.58,82.4,3.36,70.81
553,charters towers,0.0,AU,1563336087,31.0,-20.07,146.27,68.72,13.18,68.72
554,medea,0.0,DZ,1563336213,82.0,36.27,2.77,66.2,1.12,66.2
555,lipin bor,92.0,RU,1563336214,72.0,60.26,37.97,53.42,4.14,53.42
556,yumen,100.0,CN,1563335648,67.0,40.29,97.04,66.2,27.07,66.2
557,atyashevo,100.0,RU,1563336214,97.0,54.56,46.07,57.74,11.92,57.74
558,mizdah,0.0,LY,1563336214,74.0,31.45,12.98,66.56,4.7,66.56
559,rabat,75.0,MA,1563336215,72.0,34.02,-6.83,69.01,5.82,67.23
560,yabrud,0.0,SY,1563336215,49.0,33.97,36.66,71.6,3.36,68.14
561,grand gaube,40.0,MU,1563336215,68.0,-20.01,57.66,71.01,14.99,70.3
562,merauke,100.0,ID,1563336216,84.0,-8.49,140.4,77.18,22.59,77.18
564,troitsko-pechorsk,100.0,RU,1563336216,93.0,62.71,56.19,50.18,11.68,50.18
566,rodrigues alves,19.0,BR,1563336217,90.0,-7.74,-72.65,71.6,2.68,71.6
567,saryozek,0.0,KZ,1563336217,20.0,44.36,77.98,84.38,6.91,84.38
568,cuauhtemoc,0.0,MX,1563336164,69.0,28.72,-111.63,90.0,8.01,88.29
569,vagur,100.0,FO,1563336217,98.0,61.47,-6.81,50.9,16.58,50.9
570,chekhov,75.0,RU,1563336218,100.0,55.14,37.45,60.8,4.47,59.18
571,xiaoweizhai,95.0,CN,1563336218,80.0,26.23,107.51,77.18,6.85,77.18
573,moussoro,98.0,TD,1563336218,49.0,13.64,16.49,86.72,3.27,86.72
574,jumla,0.0,NP,1563336219,67.0,29.28,82.18,62.96,2.37,62.96
575,najran,40.0,SA,1563335643,14.0,17.54,44.22,89.6,9.17,89.6
576,krasnogorsk,90.0,RU,1563336219,93.0,55.82,37.34,60.8,8.95,59.16
577,mitu,0.0,IR,1563336220,36.0,36.2,46.09,62.6,2.91,62.6
578,sangamner,90.0,IN,1563336220,82.0,19.57,74.2,74.12,5.68,74.12
579,monastyrshchina,100.0,RU,1563336220,93.0,54.35,31.84,52.52,4.74,52.52
580,pachino,0.0,IT,1563336220,77.0,36.72,15.09,64.4,3.36,62.51
581,gravdal,57.0,NO,1563336221,93.0,59.79,5.78,54.0,1.12,52.93
582,morehead,75.0,US,1563336221,88.0,38.18,-83.43,79.0,6.93,75.4
583,witu,74.0,KE,1563336221,89.0,-2.39,40.44,69.8,6.58,69.8
584,salta,90.0,AR,1563336060,93.0,-24.79,-65.41,59.0,2.24,56.68
586,stony plain,1.0,CA,1563336222,72.0,53.53,-114.0,62.6,4.7,60.19
587,santa ines,75.0,EC,1563336222,87.0,-0.82,-78.63,48.2,3.36,48.2
588,guadalajara,0.0,ES,1563335677,49.0,40.63,-3.16,75.2,3.36,73.4
589,little current,20.0,CA,1563336223,83.0,45.98,-81.93,73.4,8.05,68.81
590,corinto,40.0,CO,1563335676,83.0,3.17,-76.26,71.6,6.93,71.6
591,yamada,75.0,JP,1563336223,74.0,36.58,137.08,87.01,10.29,82.98
592,aksha,43.0,RU,1563336223,51.0,50.28,113.29,77.9,7.96,77.9
593,las vegas,1.0,US,1563336224,6.0,36.17,-115.15,102.0,5.82,97.56
594,rio gallegos,0.0,AR,1563336224,86.0,-51.62,-69.22,32.9,10.27,32.9
595,matagami,67.0,NG,1563336224,95.0,9.67,8.4,67.64,2.64,67.64
597,orotukan,100.0,RU,1563336225,53.0,62.26,151.67,62.06,4.94,62.06
